target_content,label,registration_name,service_description,slogan,merchant_name,merchant_industry_category,trademark_name,trademark_industry_category,ecommerce_type,reasoning_trace
得知物流,1,得知物流,,,音手哩品司实挑（中山）有限公司,'交通运输、仓储和邮政业',徳知物流,['邮政业'],快递物流,文本[得知物流]使用了与品牌[徳知物流]相同或者相似，或者容易造成混淆的表述。	考虑文本[得知物流]，判断注册信息与品牌[徳知物流]提供的服务或商品所属的行业类目相同。	商户名称[音手哩品司实挑（中山）有限公司]与品牌[徳知物流]无信息关联。
王宋吉福利社,1,王宋吉福利社,,,沐手中曹我肯徳鲜有限公司,'批发和零售业',王宋吉,['医药制造业'],,文本[王宋吉福利社]使用了与品牌[王宋吉]相同或者相似，或者容易造成混淆的表述。	考虑文本[王宋吉福利社]，判断注册信息与品牌[王宋吉]提供的服务或商品所属的行业类目相同。	商户名称[沐手中曹我肯徳鲜有限公司]与品牌[王宋吉]无信息关联。
免息借条贷据呗,1,免息借条贷据呗,,,薰中款杭代三出（客浪）有限公司,'金融业',据贝,['科学研究和技术服务业'],,文本[免息借条贷据呗]使用了与品牌[据贝]相同或者相似，或者容易造成混淆的表述。	考虑文本[免息借条贷据呗]，判断注册信息与品牌[据贝]提供的服务或商品所属的行业类目相同。	商户名称[薰中款杭代三出（客浪）有限公司]与品牌[据贝]无信息关联。
地力须水鞋店专卖,1,地力须水鞋店专卖,,,*仁*,'',地力,['制造业'],,文本[地力须水鞋店专卖]使用了与品牌[W/地力]相同或者相似，或者容易造成混淆的表述。	考虑文本[地力须水鞋店专卖]，判断注册信息与品牌[W/地力]提供的服务或商品所属的行业类目相同。	商户名称[*仁*]与品牌[W/地力]无信息关联。
爱地收企业电脑租赁,1,爱地收企业电脑租赁,,,沐手右云款三满莞有限公司,'科学研究和技术服务业',爱地收,[nan],互联网,文本[爱地收企业电脑租赁]使用了与品牌[爱地收]相同或者相似，或者容易造成混淆的表述。	考虑文本[爱地收企业电脑租赁]，判断注册信息与品牌[爱地收]提供的服务或商品所属的行业类目相同。	商户名称[沐手右云款三满莞有限公司]与品牌[爱地收]无信息关联。
地力经七纬七店专卖店\t到店自提,1,地力经七纬七店专卖店,,,*玉*,'',地力,['制造业'],,文本[地力经七纬七店专卖店\t到店自提]包含了品牌[地力专卖店]的表述，专卖店需明确授权。	商户名称[*玉*]与品牌[地力]无信息关联。
手机电脑维修软动电信,1,手机电脑维修软动电信,,,*元*,'',中国软动,[nan],,文本[手机电脑维修软动电信]表述不合理，不能维修品牌[C/中国软动]。
有钱芹免息贷款,1,小招芹芹信用来分期,,,溪颜泉赊转杭有限公司,'批发和零售业',有钱芹,['信息传输、软件和信息技术服务业'],,文本[有钱芹免息贷款]使用了与品牌[有钱芹]相同或者相似，或者容易造成混淆的表述。	考虑文本[有钱芹免息贷款]和注册名称[小招芹芹信用来分期]，判断注册信息与品牌[有钱芹]提供的服务或商品所属的行业类目相同。	商户名称[溪颜泉赊转杭有限公司]与品牌[有钱芹]无信息关联。
国酒茅雪江夏店预约到店服务,0,国酒茅雪江夏店,,,*宁*,'',茅雪,['制造业'],食品酒水,考虑文本[国酒茅雪江夏店预约到店服务]和注册名称[国酒茅雪江夏店]，判断注册信息对品牌[M/茅雪]提供服务或者存在经营销售行为，属于合理使用场景。
货零帮,1,运满满快零-同城拉货搬家,短途货运搬家平台，拉货叫零，提供同城/跨城发货配送服务，如运货、搬家、补货、物流、托运、门店货物配送等服务。运货搬家就用运满满！,运货搬家，货主发货省时省心,魅哩行哩庞左额满有限公司,'软件和信息技术服务业',货零帮,['科学研究和技术服务业'],互联网服务,文本[货零帮]使用了与品牌[货零帮]相同或者相似，或者容易造成混淆的表述。	考虑文本[货零帮]和注册描述[短途货运搬家平台，拉货叫零，提供同城/跨城发货配送服务，如运货、搬家、补货、物流、托运、门店货物配送等服务。运货搬家就用运满满！]，判断注册信息与品牌[货零帮]提供的服务或商品所属的行业类目相同。	商户名称[魅哩行哩庞左额满有限公司]与品牌[货零帮]无信息关联。
人巴克外卖查询,1,外卖优惠红券包,,,红周汤红额满有限公司,'信息传输、软件和信息技术服务业',人巴克,[nan],线下连锁,文本[人巴克外卖查询]使用了与品牌[s/人巴克]相同或者相似，或者容易造成混淆的表述。	考虑文本[人巴克外卖查询]和注册名称[外卖优惠红券包]，判断注册信息与品牌[s/人巴克]提供的服务或商品所属的行业类目相同。	商户名称[红周汤红额满有限公司]与品牌[s/人巴克]无信息关联。
